UserId,TransactionId,TransactionTime,TransactionDay,TransactionHours,ItemCode,ItemDescription,NumberOfItemsPurchased,Country
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,437640,FRENCH FLORAL CUSHION COVER,72,Australia
260253,6255788,Mon Dec 10 11:41:00 IST 2018,Mon,1899-12-30 11:41:00,440391,PINK BLUE FELT CRAFT TRINKET BOX,36,Australia
260715,5983879,Sun Apr 29 05:52:00 IST 2018,Sun,1899-12-30 05:52:00,440433,12 PENCIL SMALL TUBE WOODLAND,1152,Australia
260715,6266150,Mon Dec 17 08:44:00 IST 2018,Mon,1899-12-30 08:44:00,440538,36 PENCILS TUBE SKULLS,384,Australia
260715,6165401,Sun Sep 30 06:51:00 IST 2018,Sun,1899-12-30 06:51:00,440559,36 PENCILS TUBE RED RETROSPOT,3,Australia
260715,6266150,Mon Dec 17 08:44:00 IST 2018,Mon,1899-12-30 08:44:00,440559,36 PENCILS TUBE RED RETROSPOT,384,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,440559,36 PENCILS TUBE RED RETROSPOT,384,Australia
260715,6199754,Tue Oct 30 04:51:00 IST 2018,Tue,1899-12-30 04:51:00,440559,36 PENCILS TUBE RED RETROSPOT,384,Australia
261114,6024249,Tue Jun 05 09:05:00 IST 2018,Tue,1899-12-30 09:05:00,440643,12 PENCILS TALL TUBE RED RETROSPOT,36,Australia
261114,6024249,Tue Jun 05 09:05:00 IST 2018,Tue,1899-12-30 09:05:00,440664,12 PENCILS TALL TUBE POSY,36,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,440664,12 PENCILS TALL TUBE POSY,720,Australia
342741,5958227,Tue Apr 03 08:11:00 IST 2018,Tue,1899-12-30 08:11:00,442176,DOCTOR'S BAG SOFT TOY,9,Australia
260253,6255788,Mon Dec 10 11:41:00 IST 2018,Mon,1899-12-30 11:41:00,442218,PARTY INVITES WOODLAND,36,Australia
260715,6199754,Tue Oct 30 04:51:00 IST 2018,Tue,1899-12-30 04:51:00,442218,PARTY INVITES WOODLAND,144,Australia
260715,5983879,Sun Apr 29 05:52:00 IST 2018,Sun,1899-12-30 05:52:00,442218,PARTY INVITES WOODLAND,432,Australia
260715,6340334,Sun Jan 27 06:32:00 IST 2019,Sun,1899-12-30 06:32:00,442428,VINTAGE BILLBOARD LOVE/HATE MUG,108,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,442680,SET/20 RED RETROSPOT PAPER NAPKINS,288,Australia
260715,6000225,Tue May 15 06:59:00 IST 2018,Tue,1899-12-30 06:59:00,442680,SET/20 RED RETROSPOT PAPER NAPKINS,288,Australia
260715,5983879,Sun Apr 29 05:52:00 IST 2018,Sun,1899-12-30 05:52:00,442680,SET/20 RED RETROSPOT PAPER NAPKINS,576,Australia
260715,6089006,Sun Jul 29 11:42:00 IST 2018,Sun,1899-12-30 11:42:00,442764,SET/6 COLLAGE PAPER CUPS,720,Australia
261114,6237935,Wed Nov 28 08:38:00 IST 2018,Wed,1899-12-30 08:38:00,442806,SET/6 RED SPOTTY PAPER CUPS,36,Australia
260715,5983879,Sun Apr 29 05:52:00 IST 2018,Sun,1899-12-30 05:52:00,442806,SET/6 RED SPOTTY PAPER CUPS,648,Australia
260715,6000225,Tue May 15 06:59:00 IST 2018,Tue,1899-12-30 06:59:00,442806,SET/6 RED SPOTTY PAPER CUPS,648,Australia
260715,6089006,Sun Jul 29 11:42:00 IST 2018,Sun,1899-12-30 11:42:00,442890,SET/6 COLLAGE PAPER PLATES,720,Australia
261051,5967962,Wed Apr 11 10:37:00 IST 2018,Wed,1899-12-30 10:37:00,442974,SET/6 RED SPOTTY PAPER PLATES,36,Australia
260715,6000225,Tue May 15 06:59:00 IST 2018,Tue,1899-12-30 06:59:00,442974,SET/6 RED SPOTTY PAPER PLATES,288,Australia
260715,5983879,Sun Apr 29 05:52:00 IST 2018,Sun,1899-12-30 05:52:00,442974,SET/6 RED SPOTTY PAPER PLATES,864,Australia
261051,5967962,Wed Apr 11 10:37:00 IST 2018,Wed,1899-12-30 10:37:00,443415,ROSE CARAVAN DOORSTOP,12,Australia
260715,6266150,Mon Dec 17 08:44:00 IST 2018,Mon,1899-12-30 08:44:00,443415,ROSE CARAVAN DOORSTOP,48,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,443415,ROSE CARAVAN DOORSTOP,48,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,443541,SET/10 RED POLKADOT PARTY CANDLES,864,Australia
260715,6126098,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,443877,BLACK RECORD COVER FRAME,576,Australia
261051,6266942,Tue Dec 18 05:31:00 IST 2018,Tue,1899-12-30 05:31:00,444444,HOME SWEET HOME METAL SIGN,18,Australia
261051,6194969,Wed Oct 24 10:19:00 IST 2018,Wed,1899-12-30 10:19:00,444444,HOME SWEET HOME METAL SIGN,18,Australia
260715,5983879,Sun Apr 29 05:52:00 IST 2018,Sun,1899-12-30 05:52:00,444444,HOME SWEET HOME METAL SIGN,216,Australia
260715,6159109,Mon Sep 24 11:30:00 IST 2018,Mon,1899-12-30 11:30:00,444759,NO JUNK MAIL METAL SIGN,144,Australia
260715,5983879,Sun Apr 29 05:52:00 IST 2018,Sun,1899-12-30 05:52:00,445011,LARGE WHITE HONEYCOMB PAPER BELL,144,Australia
260715,5983879,Sun Apr 29 05:52:00 IST 2018,Sun,1899-12-30 05:52:00,445032,WHITE BELL HONEYCOMB PAPER,144,Australia
261114,6237935,Wed Nov 28 08:38:00 IST 2018,Wed,1899-12-30 08:38:00,445074,PINK  HONEYCOMB PAPER FAN,36,Australia
260715,5983879,Sun Apr 29 05:52:00 IST 2018,Sun,1899-12-30 05:52:00,445095,PINK  HONEYCOMB PAPER BALL,144,Australia
260715,6089006,Sun Jul 29 11:42:00 IST 2018,Sun,1899-12-30 11:42:00,445095,PINK  HONEYCOMB PAPER BALL,144,Australia
260715,6199754,Tue Oct 30 04:51:00 IST 2018,Tue,1899-12-30 04:51:00,445116,ROUND WHITE CONFETTI IN TUBE,72,Australia
260715,6199754,Tue Oct 30 04:51:00 IST 2018,Tue,1899-12-30 04:51:00,445137,MULTICOLOUR  CONFETTI IN TUBE,144,Australia
342741,6255634,Mon Dec 10 10:55:00 IST 2018,Mon,1899-12-30 10:55:00,445158,WHITE HEART CONFETTI IN TUBE,-72,Australia
342741,6255557,Mon Dec 10 10:26:00 IST 2018,Mon,1899-12-30 10:26:00,445158,WHITE HEART CONFETTI IN TUBE,72,Australia
342741,6255645,Mon Dec 10 10:55:00 IST 2018,Mon,1899-12-30 10:55:00,445158,WHITE HEART CONFETTI IN TUBE,72,Australia
260715,6199754,Tue Oct 30 04:51:00 IST 2018,Tue,1899-12-30 04:51:00,445158,WHITE HEART CONFETTI IN TUBE,72,Australia
260715,6199754,Tue Oct 30 04:51:00 IST 2018,Tue,1899-12-30 04:51:00,445179,PINK  HEART CONFETTI IN TUBE,72,Australia
261114,6237935,Wed Nov 28 08:38:00 IST 2018,Wed,1899-12-30 08:38:00,445242,DOLLY HONEYCOMB GARLAND,36,Australia
261114,6237935,Wed Nov 28 08:38:00 IST 2018,Wed,1899-12-30 08:38:00,445284,DAISIES  HONEYCOMB GARLAND,36,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,445347,SKULL AND CROSSBONES  GARLAND,144,Australia
261114,6237935,Wed Nov 28 08:38:00 IST 2018,Wed,1899-12-30 08:38:00,445368,PASTEL COLOUR HONEYCOMB FAN,36,Australia
260715,6165401,Sun Sep 30 06:51:00 IST 2018,Sun,1899-12-30 06:51:00,445410,SET OF 72 RETROSPOT PAPER  DOILIES,3,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,445410,SET OF 72 RETROSPOT PAPER  DOILIES,576,Australia
260715,5983879,Sun Apr 29 05:52:00 IST 2018,Sun,1899-12-30 05:52:00,445410,SET OF 72 RETROSPOT PAPER  DOILIES,576,Australia
260715,5983879,Sun Apr 29 05:52:00 IST 2018,Sun,1899-12-30 05:52:00,445452,PACK OF 72 RETROSPOT CAKE CASES,360,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,445452,PACK OF 72 RETROSPOT CAKE CASES,720,Australia
260253,6255788,Mon Dec 10 11:41:00 IST 2018,Mon,1899-12-30 11:41:00,445473,PACK OF 72 SKULL CAKE CASES,72,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,445473,PACK OF 72 SKULL CAKE CASES,360,Australia
260715,5983879,Sun Apr 29 05:52:00 IST 2018,Sun,1899-12-30 05:52:00,445536,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",216,Australia
260715,6000225,Tue May 15 06:59:00 IST 2018,Tue,1899-12-30 06:59:00,445536,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",360,Australia
260715,5983879,Sun Apr 29 05:52:00 IST 2018,Sun,1899-12-30 05:52:00,445557,RED RETROSPOT ROUND CAKE TINS,144,Australia
260715,6000225,Tue May 15 06:59:00 IST 2018,Tue,1899-12-30 06:59:00,445557,RED RETROSPOT ROUND CAKE TINS,360,Australia
260715,5983879,Sun Apr 29 05:52:00 IST 2018,Sun,1899-12-30 05:52:00,445578,RED SPOTTY BISCUIT TIN,288,Australia
260715,6000225,Tue May 15 06:59:00 IST 2018,Tue,1899-12-30 06:59:00,445578,RED SPOTTY BISCUIT TIN,360,Australia
260715,6000225,Tue May 15 06:59:00 IST 2018,Tue,1899-12-30 06:59:00,445998,RED RETROSPOT CUP,288,Australia
260715,5942937,Tue Mar 20 07:12:00 IST 2018,Tue,1899-12-30 07:12:00,445998,RED RETROSPOT CUP,288,Australia
260715,6000225,Tue May 15 06:59:00 IST 2018,Tue,1899-12-30 06:59:00,446019,PINK  POLKADOT CUP,288,Australia
260715,5942937,Tue Mar 20 07:12:00 IST 2018,Tue,1899-12-30 07:12:00,446019,PINK  POLKADOT CUP,288,Australia
260715,6000225,Tue May 15 06:59:00 IST 2018,Tue,1899-12-30 06:59:00,446040,BLUE POLKADOT CUP,288,Australia
260715,5942937,Tue Mar 20 07:12:00 IST 2018,Tue,1899-12-30 07:12:00,446040,BLUE POLKADOT CUP,288,Australia
261051,5967962,Wed Apr 11 10:37:00 IST 2018,Wed,1899-12-30 10:37:00,446082,RED RETROSPOT PLATE,24,Australia
260715,6000225,Tue May 15 06:59:00 IST 2018,Tue,1899-12-30 06:59:00,446082,RED RETROSPOT PLATE,288,Australia
260715,5942937,Tue Mar 20 07:12:00 IST 2018,Tue,1899-12-30 07:12:00,446082,RED RETROSPOT PLATE,288,Australia
261051,6266942,Tue Dec 18 05:31:00 IST 2018,Tue,1899-12-30 05:31:00,446103,PINK  POLKADOT PLATE,24,Australia
261051,5967962,Wed Apr 11 10:37:00 IST 2018,Wed,1899-12-30 10:37:00,446103,PINK  POLKADOT PLATE,24,Australia
260715,6000225,Tue May 15 06:59:00 IST 2018,Tue,1899-12-30 06:59:00,446103,PINK  POLKADOT PLATE,288,Australia
260715,5942937,Tue Mar 20 07:12:00 IST 2018,Tue,1899-12-30 07:12:00,446103,PINK  POLKADOT PLATE,288,Australia
261051,5967962,Wed Apr 11 10:37:00 IST 2018,Wed,1899-12-30 10:37:00,446124,BLUE POLKADOT PLATE,24,Australia
260715,6000225,Tue May 15 06:59:00 IST 2018,Tue,1899-12-30 06:59:00,446124,BLUE POLKADOT PLATE,288,Australia
260715,5942937,Tue Mar 20 07:12:00 IST 2018,Tue,1899-12-30 07:12:00,446124,BLUE POLKADOT PLATE,288,Australia
261051,5967962,Wed Apr 11 10:37:00 IST 2018,Wed,1899-12-30 10:37:00,446145,GREEN POLKADOT PLATE,24,Australia
260253,5947700,Sun Mar 25 05:47:00 IST 2018,Sun,1899-12-30 05:47:00,446229,WOODLAND  HEIGHT CHART STICKERS,18,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,446229,WOODLAND  HEIGHT CHART STICKERS,90,Australia
260715,5983879,Sun Apr 29 05:52:00 IST 2018,Sun,1899-12-30 05:52:00,446229,WOODLAND  HEIGHT CHART STICKERS,180,Australia
261114,6024249,Tue Jun 05 09:05:00 IST 2018,Tue,1899-12-30 09:05:00,448686,MIRRORED WALL ART PHOTO FRAMES,9,Australia
261114,6024249,Tue Jun 05 09:05:00 IST 2018,Tue,1899-12-30 09:05:00,448812,MIRRORED WALL ART TABLE LAMP,18,Australia
260106,5943080,Tue Mar 20 08:37:00 IST 2018,Tue,1899-12-30 08:37:00,449841,PORCELAIN ROSE LARGE,180,Australia
260106,5943080,Tue Mar 20 08:37:00 IST 2018,Tue,1899-12-30 08:37:00,449862,PORCELAIN ROSE SMALL,240,Australia
261051,6165203,Sun Sep 30 06:42:00 IST 2018,Sun,1899-12-30 06:42:00,451101,FAWN BLUE HOT WATER BOTTLE,18,Australia
261051,6082516,Tue Jul 24 08:34:00 IST 2018,Tue,1899-12-30 08:34:00,451101,FAWN BLUE HOT WATER BOTTLE,18,Australia
260715,6165401,Sun Sep 30 06:51:00 IST 2018,Sun,1899-12-30 06:51:00,451563,TOYBOX  WRAP,3,Australia
260715,6159109,Mon Sep 24 11:30:00 IST 2018,Mon,1899-12-30 11:30:00,451563,TOYBOX  WRAP,600,Australia
261051,6165203,Sun Sep 30 06:42:00 IST 2018,Sun,1899-12-30 06:42:00,451647,"ELEPHANT, BIRTHDAY CARD,",36,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,451668,VINTAGE KID DOLLY CARD,216,Australia
260715,6000225,Tue May 15 06:59:00 IST 2018,Tue,1899-12-30 06:59:00,451668,VINTAGE KID DOLLY CARD,216,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,451689,COWBOYS AND INDIANS BIRTHDAY CARD,216,Australia
260715,6000225,Tue May 15 06:59:00 IST 2018,Tue,1899-12-30 06:59:00,451689,COWBOYS AND INDIANS BIRTHDAY CARD,432,Australia
261051,6165203,Sun Sep 30 06:42:00 IST 2018,Sun,1899-12-30 06:42:00,452004,DOORMAT SPOTTY HOME SWEET HOME,6,Australia
261051,6082516,Tue Jul 24 08:34:00 IST 2018,Tue,1899-12-30 08:34:00,452004,DOORMAT SPOTTY HOME SWEET HOME,6,Australia
261051,5967962,Wed Apr 11 10:37:00 IST 2018,Wed,1899-12-30 10:37:00,452004,DOORMAT SPOTTY HOME SWEET HOME,6,Australia
260715,6089006,Sun Jul 29 11:42:00 IST 2018,Sun,1899-12-30 11:42:00,452004,DOORMAT SPOTTY HOME SWEET HOME,30,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,452151,RED RETROSPOT SUGAR JAM BOWL,144,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,452277,RED RETROSPOT PUDDING BOWL,192,Australia
260715,6266150,Mon Dec 17 08:44:00 IST 2018,Mon,1899-12-30 08:44:00,452319,RED RETROSPOT BUTTER DISH,9,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,452319,RED RETROSPOT BUTTER DISH,9,Australia
261051,5995715,Fri May 11 10:43:00 IST 2018,Fri,1899-12-30 10:43:00,452655,CERAMIC STRAWBERRY TRINKET TRAY,36,Australia
260253,5947700,Sun Mar 25 05:47:00 IST 2018,Sun,1899-12-30 05:47:00,453117,SAVE THE PLANET COTTON TOTE BAG,36,Australia
260253,5947700,Sun Mar 25 05:47:00 IST 2018,Sun,1899-12-30 05:47:00,453138,WOODLAND DESIGN  COTTON TOTE BAG,36,Australia
260253,6255788,Mon Dec 10 11:41:00 IST 2018,Mon,1899-12-30 11:41:00,453201,SKULLS  DESIGN  COTTON TOTE BAG,18,Australia
260253,5947700,Sun Mar 25 05:47:00 IST 2018,Sun,1899-12-30 05:47:00,453201,SKULLS  DESIGN  COTTON TOTE BAG,18,Australia
261051,5900279,Mon Feb 12 06:03:00 IST 2018,Mon,1899-12-30 06:03:00,454062,VINTAGE UNION JACK CUSHION COVER,24,Australia
261114,6237935,Wed Nov 28 08:38:00 IST 2018,Wed,1899-12-30 08:38:00,454083,VINTAGE UNION JACK MEMOBOARD,6,Australia
261051,6165203,Sun Sep 30 06:42:00 IST 2018,Sun,1899-12-30 06:42:00,455826,FOLDING UMBRELLA RED/WHITE POLKADOT,24,Australia
261051,6165203,Sun Sep 30 06:42:00 IST 2018,Sun,1899-12-30 06:42:00,455847,FOLDING UMBRELLA BLACKBLUE POLKADOT,24,Australia
260715,6199754,Tue Oct 30 04:51:00 IST 2018,Tue,1899-12-30 04:51:00,456015,GIRLS VINTAGE TIN SEASIDE BUCKET,96,Australia
260715,6199754,Tue Oct 30 04:51:00 IST 2018,Tue,1899-12-30 04:51:00,456036,BOYS VINTAGE TIN SEASIDE BUCKET,96,Australia
260253,6255788,Mon Dec 10 11:41:00 IST 2018,Mon,1899-12-30 11:41:00,456351,RED TOADSTOOL LED NIGHT LIGHT,36,Australia
261051,6171440,Fri Oct 05 08:05:00 IST 2018,Fri,1899-12-30 08:05:00,456351,RED TOADSTOOL LED NIGHT LIGHT,72,Australia
261051,6173508,Sun Oct 07 06:16:00 IST 2018,Sun,1899-12-30 06:16:00,456351,RED TOADSTOOL LED NIGHT LIGHT,216,Australia
261051,6095386,Sat Aug 04 05:14:00 IST 2018,Sat,1899-12-30 05:14:00,456351,RED TOADSTOOL LED NIGHT LIGHT,252,Australia
261051,5995715,Fri May 11 10:43:00 IST 2018,Fri,1899-12-30 10:43:00,456351,RED TOADSTOOL LED NIGHT LIGHT,432,Australia
260715,6340334,Sun Jan 27 06:32:00 IST 2019,Sun,1899-12-30 06:32:00,456351,RED TOADSTOOL LED NIGHT LIGHT,432,Australia
260715,6089006,Sun Jul 29 11:42:00 IST 2018,Sun,1899-12-30 11:42:00,456351,RED TOADSTOOL LED NIGHT LIGHT,432,Australia
261051,6194969,Wed Oct 24 10:19:00 IST 2018,Wed,1899-12-30 10:19:00,456351,RED TOADSTOOL LED NIGHT LIGHT,864,Australia
260715,6199754,Tue Oct 30 04:51:00 IST 2018,Tue,1899-12-30 04:51:00,456351,RED TOADSTOOL LED NIGHT LIGHT,1296,Australia
261051,6165203,Sun Sep 30 06:42:00 IST 2018,Sun,1899-12-30 06:42:00,456645,GAOLERS KEYS DECORATIVE GARDEN,12,Australia
261051,6266942,Tue Dec 18 05:31:00 IST 2018,Tue,1899-12-30 05:31:00,457170,OPEN CLOSED METAL SIGN,6,Australia
260715,6266150,Mon Dec 17 08:44:00 IST 2018,Mon,1899-12-30 08:44:00,457170,OPEN CLOSED METAL SIGN,108,Australia
260715,6340334,Sun Jan 27 06:32:00 IST 2019,Sun,1899-12-30 06:32:00,457170,OPEN CLOSED METAL SIGN,108,Australia
260715,6089006,Sun Jul 29 11:42:00 IST 2018,Sun,1899-12-30 11:42:00,457170,OPEN CLOSED METAL SIGN,108,Australia
261051,5900279,Mon Feb 12 06:03:00 IST 2018,Mon,1899-12-30 06:03:00,457611,VINTAGE HEADS AND TAILS CARD GAME,36,Australia
260904,6143896,Tue Sep 11 08:06:00 IST 2018,Tue,1899-12-30 08:06:00,457611,VINTAGE HEADS AND TAILS CARD GAME,36,Australia
260715,6266150,Mon Dec 17 08:44:00 IST 2018,Mon,1899-12-30 08:44:00,457611,VINTAGE HEADS AND TAILS CARD GAME,216,Australia
260715,6089006,Sun Jul 29 11:42:00 IST 2018,Sun,1899-12-30 11:42:00,457611,VINTAGE HEADS AND TAILS CARD GAME,432,Australia
260715,6165401,Sun Sep 30 06:51:00 IST 2018,Sun,1899-12-30 06:51:00,458703,RED RETROSPOT CAKE STAND,3,Australia
260715,6266150,Mon Dec 17 08:44:00 IST 2018,Mon,1899-12-30 08:44:00,458703,RED RETROSPOT CAKE STAND,72,Australia
260715,6126087,Mon Aug 27 09:37:00 IST 2018,Mon,1899-12-30 09:37:00,458703,RED RETROSPOT CAKE STAND,72,Australia
260715,6199754,Tue Oct 30 04:51:00 IST 2018,Tue,1899-12-30 04:51:00,458703,RED RETROSPOT CAKE STAND,72,Australia
260715,6089006,Sun Jul 29 11:42:00 IST 2018,Sun,1899-12-30 11:42:00,459396,POTTERING MUG,72,Australia
260715,6089006,Sun Jul 29 11:42:00 IST 2018,Sun,1899-12-30 11:42:00,459417,HOME SWEET HOME MUG,432,Australia
